region,statbel_building_type_code,dwelling_type,construction_period,source_profile_measure,source_profile_value,source_profile_share_within_type,target_2025_dwellings_archetype_type,regional_number_of_dwellings,joint_distribution_source,joint_distribution_method_detail,regionalisation_method,apartment_position_split_assumption
Flemish Region,R1,Terraced house,pre-1946,2025 cadastral buildings,348494,0.529556122519,699047,370184.618778,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Flemish Region,R1,Terraced house,1946-1970,2025 cadastral buildings,157006,0.238579397557,699047,166778.212124,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Flemish Region,R1,Terraced house,1971-1990,2025 cadastral buildings,73518.3,0.111715168359,699047,78094.153296,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Flemish Region,R1,Terraced house,1991-2005,2025 cadastral buildings,30866.5,0.0469033729583,699047,32787.6621564,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Flemish Region,R1,Terraced house,post-2005,2025 cadastral buildings,48202.2,0.0732459386069,699047,51202.3536453,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Flemish Region,R2,Semi-detached house,pre-1946,2025 cadastral buildings,135126,0.218795995395,623453,136409.019717,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Flemish Region,R2,Semi-detached house,1946-1970,2025 cadastral buildings,192627,0.311901604465,623453,194455.991009,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Flemish Region,R2,Semi-detached house,1971-1990,2025 cadastral buildings,118892.2,0.192510229295,623453,120021.079985,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Flemish Region,R2,Semi-detached house,1991-2005,2025 cadastral buildings,65083,0.105382382134,623453,65700.9622888,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Flemish Region,R2,Semi-detached house,post-2005,2025 cadastral buildings,105860.8,0.171409788711,623453,106865.947001,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Flemish Region,R3,Detached house,pre-1946,2025 cadastral buildings,106881,0.11687140111,921020,107640.89785,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Flemish Region,R3,Detached house,1946-1970,2025 cadastral buildings,202761,0.22171351466,921020,204202.581272,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Flemish Region,R3,Detached house,1971-1990,2025 cadastral buildings,299814.9,0.327839255214,921020,301946.510837,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Flemish Region,R3,Detached house,1991-2005,2025 cadastral buildings,189203.9,0.206889202837,921020,190549.093597,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Flemish Region,R3,Detached house,post-2005,2025 cadastral buildings,115857.2,0.126686626179,921020,116680.916443,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Flemish Region,R4,"Apartment, enclosed",pre-1946,2021 conventional dwellings in RES2+RES3+,85002.5,0.155948146015,500307,78021.9490881,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Flemish Region,R4,"Apartment, enclosed",1946-1970,2021 conventional dwellings in RES2+RES3+,114509.5,0.210082576701,500307,105105.783702,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Flemish Region,R4,"Apartment, enclosed",1971-1990,2021 conventional dwellings in RES2+RES3+,116993.5,0.214639797897,500307,107385.793367,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Flemish Region,R4,"Apartment, enclosed",1991-2005,2021 conventional dwellings in RES2+RES3+,92354,0.169435429276,500307,84769.7313148,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Flemish Region,R4,"Apartment, enclosed",post-2005,2021 conventional dwellings in RES2+RES3+,136209.5,0.249894050111,500307,125023.742529,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
