tabula_type_number,dwelling_type,construction_period,floor_surface_area_m2,protected_volume_m3,total_building_envelope_area_m2,roof_area_m2,exterior_wall_area_m2,exterior_wall_bordering_unheated_neighboring_spaces_m2,floor_on_soil_m2,floor_bordering_unheated_neighboring_spaces_m2,doors_area_m2,windows_north_m2,windows_east_m2,windows_south_m2,windows_west_m2,windows_total_m2,source_table,source_url
1,Detached house,pre-1946,279.0,766.0,599.2,158.4,228.9,26.9,87.3,47.0,9.5,10.8,9.3,12.2,8.9,41.2,"Belgian TABULA/VITO report, Annex 2, Table 19: Geometrical data for the national housing typology",https://episcope.eu/fileadmin/tabula/public/docs/scientific/BE_TABULA_ScientificReport_VITO.pdf
2,Semi-detached house,pre-1946,237.0,651.8,447.1,119.9,158.2,27.2,61.9,40.6,9.5,7.5,7.3,7.6,7.4,29.8,"Belgian TABULA/VITO report, Annex 2, Table 19: Geometrical data for the national housing typology",https://episcope.eu/fileadmin/tabula/public/docs/scientific/BE_TABULA_ScientificReport_VITO.pdf
3,Terraced house,pre-1946,225.9,621.3,323.0,90.0,92.0,24.3,41.4,34.3,9.5,8.4,7.9,8.1,7.1,31.5,"Belgian TABULA/VITO report, Annex 2, Table 19: Geometrical data for the national housing typology",https://episcope.eu/fileadmin/tabula/public/docs/scientific/BE_TABULA_ScientificReport_VITO.pdf
4,"Apartment, enclosed",pre-1946,100.1,320.3,44.8,0.0,17.9,0.0,0.0,0.0,0.0,13.4,0.0,13.4,0.0,26.8,"Belgian TABULA/VITO report, Annex 2, Table 19: Geometrical data for the national housing typology",https://episcope.eu/fileadmin/tabula/public/docs/scientific/BE_TABULA_ScientificReport_VITO.pdf
5,"Apartment, exposed",pre-1946,100.1,320.3,190.7,100.1,63.7,0.0,0.0,0.0,0.0,13.4,0.0,13.4,0.0,26.8,"Belgian TABULA/VITO report, Annex 2, Table 19: Geometrical data for the national housing typology",https://episcope.eu/fileadmin/tabula/public/docs/scientific/BE_TABULA_ScientificReport_VITO.pdf
6,Detached house,1946-1970,235.8,648.5,538.8,158.2,183.0,19.9,56.3,70.4,9.5,9.5,9.7,12.7,9.7,41.6,"Belgian TABULA/VITO report, Annex 2, Table 19: Geometrical data for the national housing typology",https://episcope.eu/fileadmin/tabula/public/docs/scientific/BE_TABULA_ScientificReport_VITO.pdf
7,Semi-detached house,1946-1970,193.4,531.7,381.4,101.4,133.1,18.0,43.7,45.1,9.5,7.4,7.3,8.4,7.5,30.6,"Belgian TABULA/VITO report, Annex 2, Table 19: Geometrical data for the national housing typology",https://episcope.eu/fileadmin/tabula/public/docs/scientific/BE_TABULA_ScientificReport_VITO.pdf
8,Terraced house,1946-1970,198.8,546.6,296.8,90.8,79.1,13.1,35.7,38.8,9.5,6.8,7.6,7.8,7.6,29.8,"Belgian TABULA/VITO report, Annex 2, Table 19: Geometrical data for the national housing typology",https://episcope.eu/fileadmin/tabula/public/docs/scientific/BE_TABULA_ScientificReport_VITO.pdf
9,"Apartment, enclosed",1946-1970,100.1,320.3,44.8,0.0,17.9,0.0,0.0,0.0,0.0,13.4,0.0,13.4,0.0,26.8,"Belgian TABULA/VITO report, Annex 2, Table 19: Geometrical data for the national housing typology",https://episcope.eu/fileadmin/tabula/public/docs/scientific/BE_TABULA_ScientificReport_VITO.pdf
10,"Apartment, exposed",1946-1970,100.1,320.3,190.7,100.1,63.7,0.0,0.0,0.0,0.0,13.4,0.0,13.4,0.0,26.8,"Belgian TABULA/VITO report, Annex 2, Table 19: Geometrical data for the national housing typology",https://episcope.eu/fileadmin/tabula/public/docs/scientific/BE_TABULA_ScientificReport_VITO.pdf
