archetype_id,dwelling_type,construction_period,TABULA_type_number,floor_surface_area_m2,protected_volume_m3,total_building_envelope_area_m2,roof_area_m2,exterior_wall_area_m2,exterior_wall_bordering_unheated_neighboring_spaces_m2,floor_on_soil_m2,floor_bordering_unheated_neighboring_spaces_m2,doors_area_m2,windows_north_m2,windows_east_m2,windows_south_m2,windows_west_m2,windows_total_m2,U_facade_W_m2K,U_roof_W_m2K,U_floor_W_m2K,U_window_W_m2K,U_door_W_m2K,v50_m3_h_m2,q50_m3_h,n50_h_1,infiltration_n_factor,infiltration_airflow_normal_m3_h,infiltration_ach_normal_h_1,transmission_heat_loss_H_tr_W_K,infiltration_heat_loss_H_inf_W_K,specific_heat_loss_z_W_m2K
BE_TABULA_01,Detached house,pre-1946,1,279.0,766.0,599.2,158.4,228.9,26.9,87.3,47.0,9.5,10.8,9.3,12.2,8.9,41.2,2.2,1.7,0.85,5.0,4.0,18.0,10785.6,14.080417754569192,20.0,539.28,0.7040208877284596,1190.1950000000002,180.65879999999999,4.913454480286739
BE_TABULA_02,Semi-detached house,pre-1946,2,237.0,651.8,447.1,119.9,158.2,27.2,61.9,40.6,9.5,7.5,7.3,7.6,7.4,29.8,2.2,1.7,0.85,5.0,4.0,18.0,8047.8,12.3470389690089,20.0,402.39,0.6173519484504449,885.835,134.80065,4.3064795358649794
BE_TABULA_03,Terraced house,pre-1946,3,225.9,621.3,323.0,90.0,92.0,24.3,41.4,34.3,9.5,8.4,7.9,8.1,7.1,31.5,2.2,1.7,0.85,5.0,4.0,14.9,4812.7,7.746177370030582,20.0,240.635,0.38730886850152907,668.7049999999999,80.612725,3.317032868525896
BE_TABULA_04,"Apartment, enclosed",pre-1946,4,100.1,320.3,44.8,0.0,17.9,0.0,0.0,0.0,0.0,13.4,0.0,13.4,0.0,26.8,2.2,1.7,0.85,5.0,4.0,14.9,667.52,2.0840462066812364,20.0,33.376,0.10420231033406183,173.38,11.180959999999999,1.8437658341658343
BE_TABULA_05,"Apartment, exposed",pre-1946,5,100.1,320.3,190.7,100.1,63.7,0.0,0.0,0.0,0.0,13.4,0.0,13.4,0.0,26.8,2.2,1.7,0.85,5.0,4.0,14.9,2841.43,8.871152044957851,20.0,142.0715,0.44355760224789254,444.31,47.5939525,4.9141253996004
BE_TABULA_06,Detached house,1946-1970,6,235.8,648.5,538.8,158.2,183.0,19.9,56.3,70.4,9.5,9.5,9.7,12.7,9.7,41.6,1.7,1.9,0.85,5.0,4.0,18.0,9698.4,14.955127216653816,20.0,484.91999999999996,0.7477563608326908,999.2049999999999,162.44819999999999,4.926434266327396
BE_TABULA_07,Semi-detached house,1946-1970,7,193.4,531.7,381.4,101.4,133.1,18.0,43.7,45.1,9.5,7.4,7.3,8.4,7.5,30.6,1.7,1.9,0.85,5.0,4.0,18.0,6865.2,12.911792364115101,20.0,343.26,0.645589618205755,716.01,114.9921,4.2968050672182
BE_TABULA_08,Terraced house,1946-1970,8,198.8,546.6,296.8,90.8,79.1,13.1,35.7,38.8,9.5,6.8,7.6,7.8,7.6,29.8,1.7,1.9,0.85,5.0,4.0,14.9,4422.320000000001,8.090596414196854,20.0,221.11600000000004,0.4045298207098427,579.585,74.07386000000002,3.2880224346076456
BE_TABULA_09,"Apartment, enclosed",1946-1970,9,100.1,320.3,44.8,0.0,17.9,0.0,0.0,0.0,0.0,13.4,0.0,13.4,0.0,26.8,1.7,1.9,0.85,5.0,4.0,14.9,667.52,2.0840462066812364,20.0,33.376,0.10420231033406183,164.43,11.180959999999999,1.7543552447552448
BE_TABULA_10,"Apartment, exposed",1946-1970,10,100.1,320.3,190.7,100.1,63.7,0.0,0.0,0.0,0.0,13.4,0.0,13.4,0.0,26.8,1.7,1.9,0.85,5.0,4.0,14.9,2841.43,8.871152044957851,20.0,142.0715,0.44355760224789254,432.47999999999996,47.5939525,4.795943581418581
BE_TABULA_11,Detached house,1971-1990,11,238.4,655.7,548.8,170.0,159.4,23.5,54.8,91.6,9.5,8.6,9.5,11.9,10.2,40.2,1.0,0.85,0.85,3.5,4.0,17.1,9384.48,14.31215494890956,20.0,469.224,0.7156077474454781,630.54,157.19003999999998,3.3042367449664427
BE_TABULA_12,Semi-detached house,1971-1990,12,185.3,509.6,389.6,108.5,122.9,20.3,52.5,43.5,9.5,7.8,8.0,9.1,7.4,32.3,1.0,0.85,0.85,3.5,4.0,16.3,6350.4800000000005,12.461695447409733,20.0,317.524,0.6230847723704867,468.07499999999993,106.37054,3.1000838640043167
BE_TABULA_13,Terraced house,1971-1990,13,168.3,462.8,256.9,78.6,70.1,12.5,34.9,27.1,9.5,5.7,6.3,5.9,6.5,24.4,1.0,0.85,0.85,3.5,4.0,14.1,3622.2899999999995,7.826901469317199,20.0,181.11449999999996,0.39134507346585995,325.50999999999993,60.673357499999995,2.2946129382055847
BE_TABULA_14,"Apartment, enclosed",1971-1990,14,100.1,320.3,44.8,0.0,17.9,0.0,0.0,0.0,0.0,13.4,0.0,13.4,0.0,26.8,1.0,0.85,0.85,3.5,4.0,14.1,631.68,1.9721511083359349,20.0,31.583999999999996,0.09860755541679675,111.69999999999999,10.580639999999999,1.2215848151848152
BE_TABULA_15,"Apartment, exposed",1971-1990,15,100.1,320.3,190.7,100.1,63.7,0.0,0.0,0.0,0.0,13.4,0.0,13.4,0.0,26.8,1.0,0.85,0.85,3.5,4.0,14.1,2688.87,8.394848579456758,20.0,134.4435,0.41974242897283787,242.58499999999998,45.0385725,2.8733623626373626
BE_TABULA_16,Detached house,1991-2005,16,258.4,710.5,558.1,161.6,183.4,17.6,50.7,88.1,11.5,9.9,11.1,13.0,11.4,45.4,0.6,0.6,0.7,3.5,3.5,12.0,6697.200000000001,9.426038001407461,20.0,334.86,0.47130190007037304,513.87,112.17810000000001,2.4227867647058825
BE_TABULA_17,Semi-detached house,1991-2005,17,224.0,615.9,410.0,125.2,121.4,16.5,65.7,37.7,9.5,8.1,6.9,9.0,10.1,34.1,0.6,0.6,0.7,3.5,3.5,12.0,4920.0,7.988309790550415,20.0,246.0,0.3994154895275207,382.84000000000003,82.41,2.0770089285714284
BE_TABULA_18,Terraced house,1991-2005,18,191.6,526.9,264.5,80.9,75.2,9.0,37.9,25.3,9.5,6.2,6.5,6.1,7.9,26.7,0.6,0.6,0.7,3.5,3.5,10.0,2645.0,5.0199278800531415,20.0,132.25,0.25099639400265705,270.0,44.30375,1.6404162317327766
BE_TABULA_19,"Apartment, enclosed",1991-2005,19,100.1,320.3,44.8,0.0,17.9,0.0,0.0,0.0,0.0,13.4,0.0,13.4,0.0,26.8,0.6,0.6,0.7,3.5,3.5,10.0,448.0,1.398688729316266,20.0,22.4,0.0699344364658133,104.53999999999999,7.504,1.1193206793206794
BE_TABULA_20,"Apartment, exposed",1991-2005,20,100.1,320.3,190.7,100.1,63.7,0.0,0.0,0.0,0.0,13.4,0.0,13.4,0.0,26.8,0.6,0.6,0.7,3.5,3.5,10.0,1907.0,5.953793318763659,20.0,95.35,0.29768966593818297,192.07999999999998,31.942249999999998,2.2379845154845155
BE_TABULA_21,Detached house,post-2005,21,269.6,741.4,557.9,152.3,173.2,28.0,48.0,83.9,9.5,16.2,14.7,20.2,11.8,62.9,0.4,0.3,0.4,2.0,2.9,6.1,3403.1899999999996,4.5902212031292144,20.0,170.15949999999998,0.22951106015646072,332.28000000000003,57.003432499999995,1.4439296457715132
BE_TABULA_22,Semi-detached house,post-2005,22,233.7,642.7,407.9,118.0,118.3,16.9,62.2,35.8,9.5,13.4,9.2,13.9,10.6,47.1,0.4,0.3,0.4,2.0,2.9,6.3,2569.77,3.9983973860276953,20.0,128.4885,0.19991986930138478,250.43,43.0436475,1.2557708493795465
BE_TABULA_23,Terraced house,post-2005,23,199.9,549.8,267.7,76.3,72.0,13.3,35.9,24.1,9.5,10.3,8.6,9.5,8.2,36.6,0.4,0.3,0.4,2.0,2.9,6.0,1606.1999999999998,2.9214259730811203,20.0,80.30999999999999,0.14607129865405602,181.76,26.903849999999995,1.0438411705852926
BE_TABULA_24,"Apartment, enclosed",post-2005,24,100.1,320.3,44.8,0.0,17.9,0.0,0.0,0.0,0.0,13.4,0.0,13.4,0.0,26.8,0.4,0.3,0.4,2.0,2.9,6.0,268.79999999999995,0.8392132375897594,20.0,13.439999999999998,0.04196066187948797,60.760000000000005,4.5024,0.651972027972028
BE_TABULA_25,"Apartment, exposed",post-2005,25,100.1,320.3,190.7,100.1,63.7,0.0,0.0,0.0,0.0,13.4,0.0,13.4,0.0,26.8,0.4,0.3,0.4,2.0,2.9,6.0,1144.1999999999998,3.572275991258195,20.0,57.209999999999994,0.17861379956290974,109.11000000000001,19.16535,1.281472027972028
