projection,year,region,regional_modelled_stock_dwellings,existing_dwellings,standard_B_proxy_dwellings,advanced_A_proxy_dwellings,existing_share,standard_B_proxy_share,advanced_A_proxy_share,improved_envelope_dwellings,improved_envelope_share,improved_envelope_definition
central,2025,Flemish Region,3244134,2238452.4600012,713709.4799999,291972.06000008003,0.69,0.22,0.09,1005681.53999998,0.31,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2026,Flemish Region,3244134,2183951.0088012,759127.3559999001,301055.63520008,0.6732,0.234,0.0928,1060182.99119998,0.3268,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2027,Flemish Region,3244134,2129449.5576012,804545.2319999002,310139.21040008,0.6564,0.248,0.0956,1114684.4423999803,0.3436,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2028,Flemish Region,3244134,2074948.1064012004,849963.1079999002,319222.78560008,0.6396,0.262,0.0984,1169185.8935999803,0.3604,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2029,Flemish Region,3244134,2020446.6552012002,895380.9839999003,328306.36080008,0.6228,0.276,0.1012,1223687.3447999803,0.3772,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2030,Flemish Region,3244134,1965945.2040012004,940798.8599999002,337389.93600007996,0.606,0.29,0.104,1278188.79599998,0.394,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2031,Flemish Region,3244134,1911443.7528012004,986216.7359999003,346473.5112000799,0.5892,0.304,0.1068,1332690.24719998,0.4108,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2032,Flemish Region,3244134,1856942.3016012004,1031634.6119999002,355557.08640008,0.5724,0.318,0.1096,1387191.69839998,0.4276,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2033,Flemish Region,3244134,1802440.8504012004,1077052.4879999,364640.66160007997,0.5556,0.332,0.1124,1441693.14959998,0.4444,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2034,Flemish Region,3244134,1747939.3992012,1122470.3639999,373724.23680008005,0.5388,0.346,0.1152,1496194.60079998,0.4612,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2035,Flemish Region,3244134,1693437.9480012,1167888.2399998999,382807.81200008,0.522,0.36,0.118,1550696.05199998,0.478,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2036,Flemish Region,3244134,1638936.4968012,1213306.1159999,391891.38720008,0.5052,0.374,0.1208,1605197.5031999801,0.4948,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2037,Flemish Region,3244134,1584435.0456012,1258723.9919999,400974.96240007994,0.4884,0.388,0.1236,1659698.95439998,0.5116,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2038,Flemish Region,3244134,1529933.5944012,1304141.8679999001,410058.5376000799,0.4716,0.402,0.1264,1714200.4055999801,0.5284,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2039,Flemish Region,3244134,1475432.1432012,1349559.7439999,419142.11280008,0.4548,0.416,0.1292,1768701.8567999802,0.5452,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2040,Flemish Region,3244134,1420930.6920012,1394977.6199999,428225.68800007994,0.438,0.43,0.132,1823203.30799998,0.562,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2041,Flemish Region,3244134,1366429.2408012,1440395.4959999,437309.26320008,0.4212,0.444,0.1348,1877704.75919998,0.5788,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2042,Flemish Region,3244134,1311927.7896012003,1485813.3719999,446392.83840008,0.4044,0.458,0.1376,1932206.2103999802,0.5956,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2043,Flemish Region,3244134,1257426.3384012002,1531231.2479999,455476.41360008006,0.3876,0.472,0.1404,1986707.6615999802,0.6124,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2044,Flemish Region,3244134,1202924.8872012,1576649.1239999002,464559.98880008,0.3708,0.486,0.1432,2041209.1127999802,0.6292,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
central,2045,Flemish Region,3244134,1148423.4360012,1622066.9999999,473643.56400008,0.354,0.5,0.146,2095710.5639999802,0.646,TABULA_standard_B_proxy plus TABULA_advanced_A_proxy
