scenario,target_year,region,archetype_id,dwelling_type,construction_period,renovation_state,state_dwellings,regional_modelled_stock_dwellings,heating_variant_id,variant_share,variant_dwellings,energy_carrier,space_heating_system,dhw_system,heat_emitter,supply_temperature_c,ventilation_system,hrv_eta,summer_bypass,reversible_cooling_capable,source_id,assumption_id
low,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,as_is_TABULA,175543.1129261874,3244134,as_is_electricity,0.075,13165.733469464054,electricity,electric_resistance_or_existing_heat_pump_unspecified,electric_DHW_unspecified,direct_electric_or_hydronic_unspecified,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,as_is_TABULA,175543.1129261874,3244134,as_is_gas,0.712,124986.69640344543,gas,gas_boiler_unspecified,gas_DHW_or_combiboiler,standard_hydronic_radiators,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,as_is_TABULA,175543.1129261874,3244134,as_is_oil,0.147,25804.837600149545,oil,oil_boiler_unspecified,oil_DHW_or_separate_tank,standard_hydronic_radiators,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,as_is_TABULA,175543.1129261874,3244134,as_is_other,0.066,11585.84545312837,other,biomass_propane_district_or_other_lumped,other_or_unknown_DHW,unknown_or_hydronic_emitters,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_01,Detached house,pre-1946,renovated_TABULA_low_energy,43189.51910481258,3244134,renovated_air_water_heat_pump,1,43189.51910481258,electricity_plus_ambient_heat,air_water_heat_pump,heat_pump_DHW_tank_or_integrated_HP_DHW,low_temperature_radiators,45,balanced_mechanical_HRV,0.80,true,true,EC_EPBD_45C_GUIDANCE,RENOVATED_TECHNOLOGY_PACKAGE_V1
low,2050,Flemish Region,BE_TABULA_02,Semi-detached house,pre-1946,as_is_TABULA,118827.90860504589,3244134,as_is_electricity,0.075,8912.093145378441,electricity,electric_resistance_or_existing_heat_pump_unspecified,electric_DHW_unspecified,direct_electric_or_hydronic_unspecified,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_02,Semi-detached house,pre-1946,as_is_TABULA,118827.90860504589,3244134,as_is_gas,0.712,84605.47092679267,gas,gas_boiler_unspecified,gas_DHW_or_combiboiler,standard_hydronic_radiators,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_02,Semi-detached house,pre-1946,as_is_TABULA,118827.90860504589,3244134,as_is_oil,0.147,17467.702564941745,oil,oil_boiler_unspecified,oil_DHW_or_separate_tank,standard_hydronic_radiators,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_02,Semi-detached house,pre-1946,as_is_TABULA,118827.90860504589,3244134,as_is_other,0.066,7842.641967933029,other,biomass_propane_district_or_other_lumped,other_or_unknown_DHW,unknown_or_hydronic_emitters,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_02,Semi-detached house,pre-1946,renovated_TABULA_low_energy,29235.66833995412,3244134,renovated_air_water_heat_pump,1,29235.66833995412,electricity_plus_ambient_heat,air_water_heat_pump,heat_pump_DHW_tank_or_integrated_HP_DHW,low_temperature_radiators,45,balanced_mechanical_HRV,0.80,true,true,EC_EPBD_45C_GUIDANCE,RENOVATED_TECHNOLOGY_PACKAGE_V1
