source_key,scenario,role,window,period_start,period_end,n_years,month,month_name,n_days,T_mean_C,I_solar_mean_W_m2
rcp_2_6_baseline,rcp_2_6,baseline,observed_anchor,2006-01-01,2023-12-31,18,1,Jan,558,1.7957961872,42.5869557046
rcp_2_6_baseline,rcp_2_6,baseline,observed_anchor,2006-01-01,2023-12-31,18,2,Feb,508,3.0929604117,74.8429392060
rcp_2_6_baseline,rcp_2_6,baseline,observed_anchor,2006-01-01,2023-12-31,18,3,Mar,558,5.0967490576,125.0433126880
rcp_2_6_baseline,rcp_2_6,baseline,observed_anchor,2006-01-01,2023-12-31,18,4,Apr,540,8.0480799357,186.6332404878
rcp_2_6_baseline,rcp_2_6,baseline,observed_anchor,2006-01-01,2023-12-31,18,5,May,558,12.0360725649,229.6832564433
rcp_2_6_baseline,rcp_2_6,baseline,observed_anchor,2006-01-01,2023-12-31,18,6,Jun,540,15.6402433042,247.6565505981
rcp_2_6_baseline,rcp_2_6,baseline,observed_anchor,2006-01-01,2023-12-31,18,7,Jul,558,18.4576538195,241.8669664526
rcp_2_6_baseline,rcp_2_6,baseline,observed_anchor,2006-01-01,2023-12-31,18,8,Aug,558,17.3057840764,200.3741050604
rcp_2_6_baseline,rcp_2_6,baseline,observed_anchor,2006-01-01,2023-12-31,18,9,Sep,540,14.0821400960,147.0572719274
rcp_2_6_baseline,rcp_2_6,baseline,observed_anchor,2006-01-01,2023-12-31,18,10,Oct,558,9.3654102284,93.3699747773
rcp_2_6_baseline,rcp_2_6,baseline,observed_anchor,2006-01-01,2023-12-31,18,11,Nov,540,5.1265518754,47.7732664947
rcp_2_6_baseline,rcp_2_6,baseline,observed_anchor,2006-01-01,2023-12-31,18,12,Dec,558,3.0573598882,31.2937752367
rcp_2_6_future,rcp_2_6,future,target_2050_centered,2041-01-01,2060-12-31,20,1,Jan,620,2.6943410074,40.6791874047
rcp_2_6_future,rcp_2_6,future,target_2050_centered,2041-01-01,2060-12-31,20,2,Feb,565,3.3975578376,75.8368092174
rcp_2_6_future,rcp_2_6,future,target_2050_centered,2041-01-01,2060-12-31,20,3,Mar,620,5.5815658077,129.8170965287
rcp_2_6_future,rcp_2_6,future,target_2050_centered,2041-01-01,2060-12-31,20,4,Apr,600,8.4885364787,186.6435160764
rcp_2_6_future,rcp_2_6,future,target_2050_centered,2041-01-01,2060-12-31,20,5,May,620,12.4787548434,233.8403748851
rcp_2_6_future,rcp_2_6,future,target_2050_centered,2041-01-01,2060-12-31,20,6,Jun,600,17.1165529378,264.8489715068
rcp_2_6_future,rcp_2_6,future,target_2050_centered,2041-01-01,2060-12-31,20,7,Jul,620,19.4439457555,253.0701313665
rcp_2_6_future,rcp_2_6,future,target_2050_centered,2041-01-01,2060-12-31,20,8,Aug,620,18.3206846176,210.0941444274
rcp_2_6_future,rcp_2_6,future,target_2050_centered,2041-01-01,2060-12-31,20,9,Sep,600,15.7396522013,161.8730135059
rcp_2_6_future,rcp_2_6,future,target_2050_centered,2041-01-01,2060-12-31,20,10,Oct,620,10.7046151930,92.6218056925
rcp_2_6_future,rcp_2_6,future,target_2050_centered,2041-01-01,2060-12-31,20,11,Nov,600,6.2188676961,48.0827840439
rcp_2_6_future,rcp_2_6,future,target_2050_centered,2041-01-01,2060-12-31,20,12,Dec,620,3.8753258490,30.8385268646
rcp_4_5_baseline,rcp_4_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,1,Jan,558,2.0583566317,39.7337039508
rcp_4_5_baseline,rcp_4_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,2,Feb,508,2.6536932758,73.6426430744
rcp_4_5_baseline,rcp_4_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,3,Mar,558,5.0924691040,126.1440838195
rcp_4_5_baseline,rcp_4_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,4,Apr,540,7.8014585707,181.6343653573
rcp_4_5_baseline,rcp_4_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,5,May,558,11.3294781866,222.4173919753
rcp_4_5_baseline,rcp_4_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,6,Jun,540,15.8790391710,253.9700525213
rcp_4_5_baseline,rcp_4_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,7,Jul,558,18.5180873748,245.1870106318
rcp_4_5_baseline,rcp_4_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,8,Aug,558,18.1405441339,205.3698040132
rcp_4_5_baseline,rcp_4_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,9,Sep,540,14.7705158940,149.1999854229
rcp_4_5_baseline,rcp_4_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,10,Oct,558,9.5899143233,92.1093311412
rcp_4_5_baseline,rcp_4_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,11,Nov,540,5.2109050044,48.5074186714
rcp_4_5_baseline,rcp_4_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,12,Dec,558,2.7609710365,31.3790524813
rcp_4_5_future,rcp_4_5,future,target_2050_centered,2041-01-01,2060-12-31,20,1,Jan,620,3.2392321187,40.8030263124
rcp_4_5_future,rcp_4_5,future,target_2050_centered,2041-01-01,2060-12-31,20,2,Feb,565,2.8717277054,78.0954605246
rcp_4_5_future,rcp_4_5,future,target_2050_centered,2041-01-01,2060-12-31,20,3,Mar,620,5.3781647221,124.9282399547
rcp_4_5_future,rcp_4_5,future,target_2050_centered,2041-01-01,2060-12-31,20,4,Apr,600,8.1256573486,181.6885761579
rcp_4_5_future,rcp_4_5,future,target_2050_centered,2041-01-01,2060-12-31,20,5,May,620,12.7362309117,231.4861398881
rcp_4_5_future,rcp_4_5,future,target_2050_centered,2041-01-01,2060-12-31,20,6,Jun,600,17.4734432475,263.2178315353
rcp_4_5_future,rcp_4_5,future,target_2050_centered,2041-01-01,2060-12-31,20,7,Jul,620,19.2093807590,249.2395478833
rcp_4_5_future,rcp_4_5,future,target_2050_centered,2041-01-01,2060-12-31,20,8,Aug,620,18.5896220546,208.8841563871
rcp_4_5_future,rcp_4_5,future,target_2050_centered,2041-01-01,2060-12-31,20,9,Sep,600,14.9607407125,155.6030604458
rcp_4_5_future,rcp_4_5,future,target_2050_centered,2041-01-01,2060-12-31,20,10,Oct,620,10.5812702302,93.9439950128
rcp_4_5_future,rcp_4_5,future,target_2050_centered,2041-01-01,2060-12-31,20,11,Nov,600,6.5394053650,48.6437340895
rcp_4_5_future,rcp_4_5,future,target_2050_centered,2041-01-01,2060-12-31,20,12,Dec,620,3.7571349605,31.5866178989
rcp_8_5_baseline,rcp_8_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,1,Jan,558,1.8860647769,41.1106140050
rcp_8_5_baseline,rcp_8_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,2,Feb,508,2.5200088621,76.9798542721
rcp_8_5_baseline,rcp_8_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,3,Mar,558,4.7683142877,131.4628407605
rcp_8_5_baseline,rcp_8_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,4,Apr,540,7.6290807653,181.0730762694
rcp_8_5_baseline,rcp_8_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,5,May,558,11.6712716161,224.7666454520
rcp_8_5_baseline,rcp_8_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,6,Jun,540,16.3826952334,254.6689449875
rcp_8_5_baseline,rcp_8_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,7,Jul,558,18.0173045278,243.5001420667
rcp_8_5_baseline,rcp_8_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,8,Aug,558,17.6976414834,201.5290357665
rcp_8_5_baseline,rcp_8_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,9,Sep,540,14.7166614674,151.5570842425
rcp_8_5_baseline,rcp_8_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,10,Oct,558,9.5417271221,96.1421562643
rcp_8_5_baseline,rcp_8_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,11,Nov,540,4.9415954590,49.5438080796
rcp_8_5_baseline,rcp_8_5,baseline,observed_anchor,2006-01-01,2023-12-31,18,12,Dec,558,3.1374715388,30.3401057579
rcp_8_5_future,rcp_8_5,future,target_2050_centered,2041-01-01,2060-12-31,20,1,Jan,620,3.3171907486,41.4687914302
rcp_8_5_future,rcp_8_5,future,target_2050_centered,2041-01-01,2060-12-31,20,2,Feb,565,4.1948403148,73.5564418590
rcp_8_5_future,rcp_8_5,future,target_2050_centered,2041-01-01,2060-12-31,20,3,Mar,620,6.2058617377,130.0654536463
rcp_8_5_future,rcp_8_5,future,target_2050_centered,2041-01-01,2060-12-31,20,4,Apr,600,8.4370633443,188.5256779257
rcp_8_5_future,rcp_8_5,future,target_2050_centered,2041-01-01,2060-12-31,20,5,May,620,11.8469337217,222.4865747175
rcp_8_5_future,rcp_8_5,future,target_2050_centered,2041-01-01,2060-12-31,20,6,Jun,600,16.9129172770,251.4595156606
rcp_8_5_future,rcp_8_5,future,target_2050_centered,2041-01-01,2060-12-31,20,7,Jul,620,18.9837136546,245.4100244338
rcp_8_5_future,rcp_8_5,future,target_2050_centered,2041-01-01,2060-12-31,20,8,Aug,620,18.5775464950,206.2368775306
rcp_8_5_future,rcp_8_5,future,target_2050_centered,2041-01-01,2060-12-31,20,9,Sep,600,15.6995307414,158.5444051298
rcp_8_5_future,rcp_8_5,future,target_2050_centered,2041-01-01,2060-12-31,20,10,Oct,620,11.1668245869,94.1792721533
rcp_8_5_future,rcp_8_5,future,target_2050_centered,2041-01-01,2060-12-31,20,11,Nov,600,6.2815764364,50.1486923504
rcp_8_5_future,rcp_8_5,future,target_2050_centered,2041-01-01,2060-12-31,20,12,Dec,620,4.8896870767,31.5482153381
