scenario,baseline_source_key,future_source_key,month,month_name,n_baseline_days,n_future_days,T_baseline_C,T_future_C,delta_T_C,I_baseline_W_m2,I_future_W_m2,alpha_solar_raw,alpha_solar_applied,alpha_was_clipped
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,1,Jan,558,620,1.7957961872,2.6943410074,0.8985448202,42.5869557046,40.6791874047,0.9552029895,0.9552029895,False
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,2,Feb,508,565,3.0929604117,3.3975578376,0.3045974258,74.8429392060,75.8368092174,1.0132794091,1.0132794091,False
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,3,Mar,558,620,5.0967490576,5.5815658077,0.4848167501,125.0433126880,129.8170965287,1.0381770423,1.0381770423,False
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,4,Apr,540,600,8.0480799357,8.4885364787,0.4404565430,186.6332404878,186.6435160764,1.0000550577,1.0000550577,False
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,5,May,558,620,12.0360725649,12.4787548434,0.4426822785,229.6832564433,233.8403748851,1.0180993535,1.0180993535,False
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,6,Jun,540,600,15.6402433042,17.1165529378,1.4763096336,247.6565505981,264.8489715068,1.0694204166,1.0694204166,False
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,7,Jul,558,620,18.4576538195,19.4439457555,0.9862919360,241.8669664526,253.0701313665,1.0463195329,1.0463195329,False
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,8,Aug,558,620,17.3057840764,18.3206846176,1.0149005411,200.3741050604,210.0941444274,1.0485094587,1.0485094587,False
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,9,Sep,540,600,14.0821400960,15.7396522013,1.6575121053,147.0572719274,161.8730135059,1.1007481057,1.1007481057,False
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,10,Oct,558,620,9.3654102284,10.7046151930,1.3392049646,93.3699747773,92.6218056925,0.9919870484,0.9919870484,False
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,11,Nov,540,600,5.1265518754,6.2188676961,1.0923158208,47.7732664947,48.0827840439,1.0064788860,1.0064788860,False
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,12,Dec,558,620,3.0573598882,3.8753258490,0.8179659608,31.2937752367,30.8385268646,0.9854524304,0.9854524304,False
rcp_4_5,rcp_4_5_baseline,rcp_4_5_future,1,Jan,558,620,2.0583566317,3.2392321187,1.1808754870,39.7337039508,40.8030263124,1.0269122245,1.0269122245,False
rcp_4_5,rcp_4_5_baseline,rcp_4_5_future,2,Feb,508,565,2.6536932758,2.8717277054,0.2180344297,73.6426430744,78.0954605246,1.0604652042,1.0604652042,False
rcp_4_5,rcp_4_5_baseline,rcp_4_5_future,3,Mar,558,620,5.0924691040,5.3781647221,0.2856956181,126.1440838195,124.9282399547,0.9903614674,0.9903614674,False
rcp_4_5,rcp_4_5_baseline,rcp_4_5_future,4,Apr,540,600,7.8014585707,8.1256573486,0.3241987779,181.6343653573,181.6885761579,1.0002984611,1.0002984611,False
rcp_4_5,rcp_4_5_baseline,rcp_4_5_future,5,May,558,620,11.3294781866,12.7362309117,1.4067527251,222.4173919753,231.4861398881,1.0407735557,1.0407735557,False
rcp_4_5,rcp_4_5_baseline,rcp_4_5_future,6,Jun,540,600,15.8790391710,17.4734432475,1.5944040765,253.9700525213,263.2178315353,1.0364128720,1.0364128720,False
rcp_4_5,rcp_4_5_baseline,rcp_4_5_future,7,Jul,558,620,18.5180873748,19.2093807590,0.6912933842,245.1870106318,249.2395478833,1.0165283521,1.0165283521,False
rcp_4_5,rcp_4_5_baseline,rcp_4_5_future,8,Aug,558,620,18.1405441339,18.5896220546,0.4490779207,205.3698040132,208.8841563871,1.0171123130,1.0171123130,False
rcp_4_5,rcp_4_5_baseline,rcp_4_5_future,9,Sep,540,600,14.7705158940,14.9607407125,0.1902248185,149.1999854229,155.6030604458,1.0429160566,1.0429160566,False
rcp_4_5,rcp_4_5_baseline,rcp_4_5_future,10,Oct,558,620,9.5899143233,10.5812702302,0.9913559069,92.1093311412,93.9439950128,1.0199183280,1.0199183280,False
rcp_4_5,rcp_4_5_baseline,rcp_4_5_future,11,Nov,540,600,5.2109050044,6.5394053650,1.3285003606,48.5074186714,48.6437340895,1.0028101973,1.0028101973,False
rcp_4_5,rcp_4_5_baseline,rcp_4_5_future,12,Dec,558,620,2.7609710365,3.7571349605,0.9961639240,31.3790524813,31.5866178989,1.0066147765,1.0066147765,False
rcp_8_5,rcp_8_5_baseline,rcp_8_5_future,1,Jan,558,620,1.8860647769,3.3171907486,1.4311259717,41.1106140050,41.4687914302,1.0087125292,1.0087125292,False
rcp_8_5,rcp_8_5_baseline,rcp_8_5_future,2,Feb,508,565,2.5200088621,4.1948403148,1.6748314526,76.9798542721,73.5564418590,0.9555284633,0.9555284633,False
rcp_8_5,rcp_8_5_baseline,rcp_8_5_future,3,Mar,558,620,4.7683142877,6.2058617377,1.4375474499,131.4628407605,130.0654536463,0.9893704783,0.9893704783,False
rcp_8_5,rcp_8_5_baseline,rcp_8_5_future,4,Apr,540,600,7.6290807653,8.4370633443,0.8079825790,181.0730762694,188.5256779257,1.0411579778,1.0411579778,False
rcp_8_5,rcp_8_5_baseline,rcp_8_5_future,5,May,558,620,11.6712716161,11.8469337217,0.1756621057,224.7666454520,222.4865747175,0.9898558315,0.9898558315,False
rcp_8_5,rcp_8_5_baseline,rcp_8_5_future,6,Jun,540,600,16.3826952334,16.9129172770,0.5302220436,254.6689449875,251.4595156606,0.9873976416,0.9873976416,False
rcp_8_5,rcp_8_5_baseline,rcp_8_5_future,7,Jul,558,620,18.0173045278,18.9837136546,0.9664091267,243.5001420667,245.4100244338,1.0078434548,1.0078434548,False
rcp_8_5,rcp_8_5_baseline,rcp_8_5_future,8,Aug,558,620,17.6976414834,18.5775464950,0.8799050116,201.5290357665,206.2368775306,1.0233606128,1.0233606128,False
rcp_8_5,rcp_8_5_baseline,rcp_8_5_future,9,Sep,540,600,14.7166614674,15.6995307414,0.9828692740,151.5570842425,158.5444051298,1.0461035584,1.0461035584,False
rcp_8_5,rcp_8_5_baseline,rcp_8_5_future,10,Oct,558,620,9.5417271221,11.1668245869,1.6250974648,96.1421562643,94.1792721533,0.9795835231,0.9795835231,False
rcp_8_5,rcp_8_5_baseline,rcp_8_5_future,11,Nov,540,600,4.9415954590,6.2815764364,1.3399809774,49.5438080796,50.1486923504,1.0122090791,1.0122090791,False
rcp_8_5,rcp_8_5_baseline,rcp_8_5_future,12,Dec,558,620,3.1374715388,4.8896870767,1.7522155379,30.3401057579,31.5482153381,1.0398188981,1.0398188981,False
