scenario,baseline_source_key,future_source_key,climate_year,month,month_name,n_days,T_future_year_month_C,T_future_climatology_C,T_baseline_climatology_C,T_anomaly_from_future_climatology_C,delta_T_vs_baseline_C,I_future_year_month_W_m2,I_future_climatology_W_m2,I_baseline_climatology_W_m2,solar_factor_from_future_climatology,alpha_solar_vs_baseline
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,2041,1,Jan,31,2.6097341230,2.6943410074,1.7957961872,-0.0846068844,0.8139379358,33.4375992283,40.6791874047,42.5869557046,0.8219829687,0.7851605891
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,2041,2,Feb,28,6.2856449672,3.3975578376,3.0929604117,2.8880871297,3.1926845555,66.0317642008,75.8368092174,74.8429392060,0.8707086293,0.8822711254
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,2041,3,Mar,31,7.3331552813,5.5815658077,5.0967490576,1.7515894736,2.2364062237,119.5433601872,129.8170965287,125.0433126880,0.9208599128,0.9560156206
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,2041,4,Apr,30,8.5063903809,8.4885364787,8.0480799357,0.0178539022,0.4583104451,192.0576098124,186.6435160764,186.6332404878,1.0290076711,1.0290643259
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,2041,5,May,31,11.7101330173,12.4787548434,12.0360725649,-0.7686218262,-0.3259395476,244.3204567202,233.8403748851,229.6832564433,1.0448172470,1.0637277636
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,2041,6,Jun,30,16.3410339355,17.1165529378,15.6402433042,-0.7755190023,0.7007906313,262.3771102905,264.8489715068,247.6565505981,0.9906669027,1.0594394118
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,2041,7,Jul,31,18.6579341765,19.4439457555,18.4576538195,-0.7860115790,0.2002803570,246.5344329342,253.0701313665,241.8669664526,0.9741743587,1.0192976600
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,2041,8,Aug,31,19.6353944840,18.3206846176,17.3057840764,1.3147098664,2.3296104076,222.5265968077,210.0941444274,200.3741050604,1.0591756254,1.1105556616
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,2041,9,Sep,30,15.6636932373,15.7396522013,14.0821400960,-0.0759589640,1.5815531413,162.6622422536,161.8730135059,147.0572719274,1.0048756042,1.1061149178
rcp_2_6,rcp_2_6_baseline,rcp_2_6_future,2041,10,Oct,31,10.3387350759,10.7046151930,9.3654102284,-0.3658801171,0.9733248475,90.2024335554,92.6218056925,93.3699747773,0.9738790221,0.9660753767
