run_id,archetype_id,dwelling_type,dwelling_class,construction_period,state_id,archetype_state_sha256,floor_area_m2,climate_scenario_id,weather_member_id,weather_pair_id,observed_pvgis_year,climate_target,occupant_seed,occupant_count,richardson_seed,model_scenario_id,model_scenario_axis,annual_heating_kWh,annual_cooling_kWh,heating_intensity_kWh_m2,cooling_intensity_kWh_m2,peak_heating_W,peak_cooling_W,heating_full_load_equivalent_hours,cooling_full_load_equivalent_hours,heating_controlled_hours,cooling_controlled_hours,iso_no_load_trial_above_cooling_setpoint_hours,iso_no_load_trial_below_heating_setpoint_hours,hrv_bypass_hours,annual_internal_gains_kWh,annual_household_electricity_kWh,max_abs_energy_balance_residual_W,warmup_cycles,model_contract_version,central_thermal_assumptions_sha256,effective_thermal_assumptions_sha256,behaviour_assumptions_sha256,occupant_distribution_sha256,model_scenario_sha256,member_sha256,metadata_sha256,climate_manifest_sha256,morph_contract_sha256,weather_contract_sha256,weather_forcing_sha256,heating_setpoint_hours_json,cooling_setpoint_hours_json,facade_source_sha256_json
mc_7156ee5883fad2174d7af41e253a02151da6e8b5a366ef5651bd6a7122f5a0da,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_existing,231ef175659def943b74235aceb0ef9def0e53fc195cdad7a8338fa6b54777e3,238.40000000000001,rcp_2_6,weather_2050_rcp_2_6_pvgis_2006,pvgis_2006,2006,2041-2060,1203443498,4,2950803985,central,central,43531.104815299092,760.30478299906724,182.59691617155659,3.1891979152645438,20247.044847101701,8808.3330063271787,2149.997945084338,86.316534859993041,5973,289,289,5973,0,4185.6149999996142,3499.9999999996135,1.0982148523908108e-10,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,2987a546cb3f48253dcdfdc400036a68d1977eddb1012f753e54eca010acedd8,73ed0728ba3aea4548919a2c599b960f1645e1842d48afd930cc90a737aecd92,a96eee14f959c7954577e91fe17d4515a9348f0431a52c4dd9b8f37b88ac9cf5,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,fb59b12e82b041c59cc8a3933745a40e92c5e89aa7df64846e5855fbd3acb00e,38669e3f0e715d12f919bbd64ba6e09fbb431145f819869ebd01d20e8fde4ed0,"[[18.0,3210],[20.0,5550]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_37f60b90354bc060e9c702f69e11c96198d57078e6b236231fd1cf07904f80ff,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_existing,231ef175659def943b74235aceb0ef9def0e53fc195cdad7a8338fa6b54777e3,238.40000000000001,rcp_2_6,weather_2050_rcp_2_6_pvgis_2006,pvgis_2006,2006,2041-2060,2404203277,3,2654959407,central,central,43546.661592923891,743.75610283443609,182.66217111125792,3.1197823105471314,19960.500846347084,8418.0530855061916,2181.6417297411272,88.352508030033746,5996,283,283,5996,0,4067.384999999565,3499.9999999995653,9.0722096501849592e-11,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,2987a546cb3f48253dcdfdc400036a68d1977eddb1012f753e54eca010acedd8,73ed0728ba3aea4548919a2c599b960f1645e1842d48afd930cc90a737aecd92,a96eee14f959c7954577e91fe17d4515a9348f0431a52c4dd9b8f37b88ac9cf5,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,fb59b12e82b041c59cc8a3933745a40e92c5e89aa7df64846e5855fbd3acb00e,38669e3f0e715d12f919bbd64ba6e09fbb431145f819869ebd01d20e8fde4ed0,"[[18.0,3303],[20.0,5457]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_149a0185a4bca49a7ca8ea4d9f0ac79f49df97cb8f23b224eca772870fabb0b7,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_existing,231ef175659def943b74235aceb0ef9def0e53fc195cdad7a8338fa6b54777e3,238.40000000000001,rcp_2_6,weather_2050_rcp_2_6_pvgis_2006,pvgis_2006,2006,2041-2060,556301278,2,3952333982,central,central,43136.5672777828,736.69465859911247,180.94197683633723,3.0901621585533241,20271.377342336673,8175.2881377569238,2127.9544329576602,90.112378448992672,5929,277,277,5929,0,3946.4599999993889,3499.9999999993893,9.7770680440589786e-11,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,2987a546cb3f48253dcdfdc400036a68d1977eddb1012f753e54eca010acedd8,73ed0728ba3aea4548919a2c599b960f1645e1842d48afd930cc90a737aecd92,a96eee14f959c7954577e91fe17d4515a9348f0431a52c4dd9b8f37b88ac9cf5,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,fb59b12e82b041c59cc8a3933745a40e92c5e89aa7df64846e5855fbd3acb00e,38669e3f0e715d12f919bbd64ba6e09fbb431145f819869ebd01d20e8fde4ed0,"[[18.0,3769],[20.0,4991]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_bf394f1f03a7792849e1862cd0b2f24d428a776f4ba9b2a0457902d2edeefff7,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_existing,231ef175659def943b74235aceb0ef9def0e53fc195cdad7a8338fa6b54777e3,238.40000000000001,rcp_2_6,weather_2050_rcp_2_6_pvgis_2006,pvgis_2006,2006,2041-2060,3323552575,1,3663581506,central,central,42298.640015689351,710.73270032453274,177.42718127386473,2.9812613268646508,20131.133180905756,8478.6295883468374,2101.1554409569612,83.826365206633739,5847,272,272,5847,0,3729.2383333328439,3499.9999999995107,8.0490281106904149e-11,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,2987a546cb3f48253dcdfdc400036a68d1977eddb1012f753e54eca010acedd8,73ed0728ba3aea4548919a2c599b960f1645e1842d48afd930cc90a737aecd92,a96eee14f959c7954577e91fe17d4515a9348f0431a52c4dd9b8f37b88ac9cf5,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,fb59b12e82b041c59cc8a3933745a40e92c5e89aa7df64846e5855fbd3acb00e,38669e3f0e715d12f919bbd64ba6e09fbb431145f819869ebd01d20e8fde4ed0,"[[18.0,4662],[20.0,4098]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_c3eb4b447b188452d3729b17164534f8c85ef6e98c71efa572ceb268ed114a78,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_existing,231ef175659def943b74235aceb0ef9def0e53fc195cdad7a8338fa6b54777e3,238.40000000000001,rcp_2_6,weather_2050_rcp_2_6_pvgis_2006,pvgis_2006,2006,2041-2060,3843248486,5,251978867,central,central,43857.192794564457,741.46845857463677,183.96473487652875,3.110186487309718,20133.523792116815,8378.0551098782635,2178.3167838576042,88.501262984102112,6044,287,287,6044,0,4335.800000001188,3500.0000000011878,8.3673512563109398e-11,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,2987a546cb3f48253dcdfdc400036a68d1977eddb1012f753e54eca010acedd8,73ed0728ba3aea4548919a2c599b960f1645e1842d48afd930cc90a737aecd92,a96eee14f959c7954577e91fe17d4515a9348f0431a52c4dd9b8f37b88ac9cf5,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,fb59b12e82b041c59cc8a3933745a40e92c5e89aa7df64846e5855fbd3acb00e,38669e3f0e715d12f919bbd64ba6e09fbb431145f819869ebd01d20e8fde4ed0,"[[18.0,2818],[20.0,5942]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_6e7984a963717a1639563d27998e2a82204cc39f60e0475fc55ec54917ed709a,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_existing,231ef175659def943b74235aceb0ef9def0e53fc195cdad7a8338fa6b54777e3,238.40000000000001,rcp_2_6,weather_2050_rcp_2_6_pvgis_2006,pvgis_2006,2006,2041-2060,3312507027,1,2010455973,central,central,42496.154446692126,734.34892245210494,178.25568140390993,3.0803226612923864,20373.507426981971,8168.9837869311041,2085.8536311922257,89.894770464219846,5856,276,276,5856,0,3739.1550000003494,3500.0000000003492,8.9130480773746967e-11,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,2987a546cb3f48253dcdfdc400036a68d1977eddb1012f753e54eca010acedd8,73ed0728ba3aea4548919a2c599b960f1645e1842d48afd930cc90a737aecd92,a96eee14f959c7954577e91fe17d4515a9348f0431a52c4dd9b8f37b88ac9cf5,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,fb59b12e82b041c59cc8a3933745a40e92c5e89aa7df64846e5855fbd3acb00e,38669e3f0e715d12f919bbd64ba6e09fbb431145f819869ebd01d20e8fde4ed0,"[[18.0,4506],[20.0,4254]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_8b9aac6b15cd258a632de78e06c071293fd48f58a5ae2c67836a1f72e14370ea,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_existing,231ef175659def943b74235aceb0ef9def0e53fc195cdad7a8338fa6b54777e3,238.40000000000001,rcp_2_6,weather_2050_rcp_2_6_pvgis_2006,pvgis_2006,2006,2041-2060,526650457,2,2819822863,central,central,43159.780858519109,746.63556695726504,181.03934923875465,3.1318605996529572,20048.720849952035,8441.9993472874412,2152.7448649484472,88.442978522282374,5960,285,285,5960,0,3952.2466666675477,3500.0000000008813,1.0413714335300028e-10,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,2987a546cb3f48253dcdfdc400036a68d1977eddb1012f753e54eca010acedd8,73ed0728ba3aea4548919a2c599b960f1645e1842d48afd930cc90a737aecd92,a96eee14f959c7954577e91fe17d4515a9348f0431a52c4dd9b8f37b88ac9cf5,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,fb59b12e82b041c59cc8a3933745a40e92c5e89aa7df64846e5855fbd3acb00e,38669e3f0e715d12f919bbd64ba6e09fbb431145f819869ebd01d20e8fde4ed0,"[[18.0,3742],[20.0,5018]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_378fe8f5919efb7d188df03f0f3cd8f41636f46c2ee099e022fe51242e892861,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_existing,231ef175659def943b74235aceb0ef9def0e53fc195cdad7a8338fa6b54777e3,238.40000000000001,rcp_2_6,weather_2050_rcp_2_6_pvgis_2006,pvgis_2006,2006,2041-2060,2006049321,2,3978763875,central,central,43222.974600538844,723.14395426605051,181.30442365997837,3.0333219558139701,20252.986402379593,8720.485872408397,2134.1531437289873,82.924732044355096,5973,278,278,5973,0,3961.7899999999822,3499.9999999999823,1.0595613275654614e-10,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,2987a546cb3f48253dcdfdc400036a68d1977eddb1012f753e54eca010acedd8,73ed0728ba3aea4548919a2c599b960f1645e1842d48afd930cc90a737aecd92,a96eee14f959c7954577e91fe17d4515a9348f0431a52c4dd9b8f37b88ac9cf5,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,fb59b12e82b041c59cc8a3933745a40e92c5e89aa7df64846e5855fbd3acb00e,38669e3f0e715d12f919bbd64ba6e09fbb431145f819869ebd01d20e8fde4ed0,"[[18.0,3681],[20.0,5079]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_72116e551714fd21855317fe6e72559f3401c5eb936e61a650cbd13fd9a79f1f,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_existing,231ef175659def943b74235aceb0ef9def0e53fc195cdad7a8338fa6b54777e3,238.40000000000001,rcp_2_6,weather_2050_rcp_2_6_pvgis_2006,pvgis_2006,2006,2041-2060,3087163335,2,2259369127,central,central,43062.620052833779,744.64665485520743,180.63179552363161,3.1235178475470109,20229.146637837464,8565.7192083079863,2128.7413069757281,86.933348706196952,5941,276,276,5941,0,3945.5266666664597,3499.9999999997935,9.0039975475519896e-11,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,2987a546cb3f48253dcdfdc400036a68d1977eddb1012f753e54eca010acedd8,73ed0728ba3aea4548919a2c599b960f1645e1842d48afd930cc90a737aecd92,a96eee14f959c7954577e91fe17d4515a9348f0431a52c4dd9b8f37b88ac9cf5,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,fb59b12e82b041c59cc8a3933745a40e92c5e89aa7df64846e5855fbd3acb00e,38669e3f0e715d12f919bbd64ba6e09fbb431145f819869ebd01d20e8fde4ed0,"[[18.0,3817],[20.0,4943]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_b63995656113ded885754820b398d2cdaed8411e53f30aa07734793d5f95f35e,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_existing,231ef175659def943b74235aceb0ef9def0e53fc195cdad7a8338fa6b54777e3,238.40000000000001,rcp_2_6,weather_2050_rcp_2_6_pvgis_2006,pvgis_2006,2006,2041-2060,1341830702,3,629275523,central,central,43488.560132482453,754.01129109378746,182.41845693155392,3.162799039822934,20140.658642846236,8706.7872184491043,2159.2422027334824,86.600404049852912,5947,283,283,5947,0,4050.5033333333936,3500.0000000000605,9.4587448984384537e-11,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,2987a546cb3f48253dcdfdc400036a68d1977eddb1012f753e54eca010acedd8,73ed0728ba3aea4548919a2c599b960f1645e1842d48afd930cc90a737aecd92,a96eee14f959c7954577e91fe17d4515a9348f0431a52c4dd9b8f37b88ac9cf5,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,fb59b12e82b041c59cc8a3933745a40e92c5e89aa7df64846e5855fbd3acb00e,38669e3f0e715d12f919bbd64ba6e09fbb431145f819869ebd01d20e8fde4ed0,"[[18.0,3398],[20.0,5362]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
