member_id,scenario,weather_pair_id,observed_pvgis_year,climate_target,row_count,member_sha256,metadata_sha256,manifest_sha256,morph_contract_sha256,facade_source_sha256_json,weather_contract_sha256
weather_2050_rcp_2_6_pvgis_2006,rcp_2_6,pvgis_2006,2006,2041-2060,8760,73ed0728ba3aea4548919a2c599b960f1645e1842d48afd930cc90a737aecd92,a96eee14f959c7954577e91fe17d4515a9348f0431a52c4dd9b8f37b88ac9cf5,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",fb59b12e82b041c59cc8a3933745a40e92c5e89aa7df64846e5855fbd3acb00e
weather_2050_rcp_2_6_pvgis_2007,rcp_2_6,pvgis_2007,2007,2041-2060,8760,250a16c99e3e5c9c43f3623fe37c969d468b00cb317915e18a37ffb3f9dbdc7b,01f68172b42eb62222239aeebbc4535756a138d805fab8c8938d5a5900426dd3,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",e0310cb1438920217c832d68c0f90a48d3523dd3672bc5ad78f2235e25fcb855
weather_2050_rcp_2_6_pvgis_2008,rcp_2_6,pvgis_2008,2008,2041-2060,8784,5ac2f88d805f0798e35c864e7e2a3f5023df55189a1c74da01bea0d69bb15a44,00efd36c048d20e0189b14855134d7e486e6c5e3ab7acb0f8c24a786aea7c6a1,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",1051904760c26859e09725b5ca0b3636768fae9636b0632fd5cb5350f361bee8
weather_2050_rcp_2_6_pvgis_2009,rcp_2_6,pvgis_2009,2009,2041-2060,8760,9ae6cc0a257aca062a6f0174407cef722e32f8213d05ca6ec19f927f8945e41c,92d5cf69513d510e9a05f52145175d9e2d1514bbb035975ff88cbd75576ff0a5,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",a2385e8a9b1704dc2e9d44cc6f523cfd2951610899a327d56b11f5b5244f1777
weather_2050_rcp_2_6_pvgis_2010,rcp_2_6,pvgis_2010,2010,2041-2060,8760,5dff86f8593a3ca0c9cf6cb796d862471cb04012a01ad76817dd8d49812a31c0,4bb50593db8cc1eca6a461505dcff2bfdc08339adbe9fcb2be143d647c9b4cfd,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",42814471bd7d24626ed20d8e282fa2196d86ffd4b0fc458fb590d9a9eba15ecf
weather_2050_rcp_2_6_pvgis_2011,rcp_2_6,pvgis_2011,2011,2041-2060,8760,6866aff27bc3a1e9c9852f3a5ec017d5e2f479302350d5606676d8a3923435cd,93e01479c0eeb8e564f9aecf38a0053db9bef7adfaa160d907b8372f66071905,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",bff33851e5f40ede2c9db01181b171cd9ff298d076f003871c0b988ddf97f123
weather_2050_rcp_2_6_pvgis_2012,rcp_2_6,pvgis_2012,2012,2041-2060,8784,21546f71429997b6c6c16215e6f307920989ede4c18f9153cd5e872d4bc4a9a4,513384f93a77e933e6e05122fbc5de3355248345866b538a3c4cd19e612eb4e3,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",9763417891e9b2e2416fe32bc45b39918fddd61ceae5cf44176da524022f21ca
weather_2050_rcp_2_6_pvgis_2013,rcp_2_6,pvgis_2013,2013,2041-2060,8760,92d9b029535d2b62595ab78a43f8324bf54a6927158e4bd9c776bbd7b693e1fd,3086ab14af356d077d10e5a3ebc6d4820b4f13fb29e258f1a46ca7664f9907d6,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",0dca88767fa6e761098ca41ed7a3fba43985e8fb6818be65f244cdc5bbcad533
weather_2050_rcp_2_6_pvgis_2014,rcp_2_6,pvgis_2014,2014,2041-2060,8760,be9784b82a52facaa7b9d48b00e0d1418d4f55cb211f17e2862a380a5d181d1e,fa15c658e7f4d78bdb5171308d31757eeee4377a3ea580009ae371a2f9670abb,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",20690144c72dc31735b037bb77f81381be92bf9e74fdc6ed980434302db7ed04
weather_2050_rcp_2_6_pvgis_2015,rcp_2_6,pvgis_2015,2015,2041-2060,8760,d93fd7a57020b111cbc69ee69b7d8ff369832d39cfb3f893fab395f16eb36937,ffbfd0656c8f87ef275e257dc9efd4fc88a4977085806ae23ecf5050958fd71c,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,"{""east"":""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065"",""north"":""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d"",""south"":""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41"",""west"":""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""}",09fe135b227dbea49d3ae3733a26b5cf4a806ee44b7b4023c2a29dff385a3cda
