run_id,archetype_id,dwelling_type,dwelling_class,construction_period,state_id,archetype_state_sha256,floor_area_m2,climate_scenario_id,weather_member_id,weather_pair_id,observed_pvgis_year,climate_target,occupant_seed,occupant_count,richardson_seed,model_scenario_id,model_scenario_axis,annual_heating_kWh,annual_cooling_kWh,heating_intensity_kWh_m2,cooling_intensity_kWh_m2,peak_heating_W,peak_cooling_W,heating_full_load_equivalent_hours,cooling_full_load_equivalent_hours,heating_controlled_hours,cooling_controlled_hours,iso_no_load_trial_above_cooling_setpoint_hours,iso_no_load_trial_below_heating_setpoint_hours,hrv_bypass_hours,annual_internal_gains_kWh,annual_household_electricity_kWh,max_abs_energy_balance_residual_W,warmup_cycles,model_contract_version,central_thermal_assumptions_sha256,effective_thermal_assumptions_sha256,behaviour_assumptions_sha256,occupant_distribution_sha256,model_scenario_sha256,member_sha256,metadata_sha256,climate_manifest_sha256,morph_contract_sha256,weather_contract_sha256,weather_forcing_sha256,heating_setpoint_hours_json,cooling_setpoint_hours_json,facade_source_sha256_json
mc_c6f0d41154bf51ea89e5787c7a26bad5d1bff5b0c2b997ccbdc68107394e17b6,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_advanced_A_proxy,08c22156446d6b54e92ebc2744f64d2c93dd615a53f5710fcccf9ffaa6f3c4b5,238.40000000000001,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2041-2060,556301278,2,3952333982,central,central,10187.99816146199,727.48629521398982,42.734891616870762,3.0515364732130443,7980.6463707535204,4730.4094888851787,1276.5880967734265,153.78928545685744,3851,458,458,3851,433,3941.4666666670619,3500.0000000003952,1.0766143532237038e-10,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,2987a546cb3f48253dcdfdc400036a68d1977eddb1012f753e54eca010acedd8,3416443e514891f304ecef2314bdad3cde8ff897194b892e9c23e1f2e7f9b452,026f1c1811c4d9afa6f463211a97f392e34d8bf233bf0f6994e895d3d37ec9cd,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,c1685be28707789bb9ad5fcb5ea3d14d55c90ada53e5cc7e083453d0e526bcc9,eeecdeb84a71a196851566afdc66d21b7f4e7ca8b66731fe98aa3c8a1292e2ba,"[[18.0,3849],[20.0,4911]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_196f35ed4d5f5f765ca7092def4a689680a1226a46c1a75f38bd3451fc910261,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_advanced_A_proxy,08c22156446d6b54e92ebc2744f64d2c93dd615a53f5710fcccf9ffaa6f3c4b5,238.40000000000001,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2041-2060,556301278,2,3952333982,mass_heavy,thermal_mass,10143.764749533249,614.00284398554732,42.5493487815992,2.5755152851742755,7937.7968768674009,4395.4058717628604,1277.9068180863326,139.69195607851566,3701,432,432,3701,399,3941.4666666670619,3500.0000000003952,1.6461854102090001e-10,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,ba8bdf115a19cf4f09c22f62bf794e41d11242897704d0abc6849c4ac0866fe8,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,ba8bdf115a19cf4f09c22f62bf794e41d11242897704d0abc6849c4ac0866fe8,3416443e514891f304ecef2314bdad3cde8ff897194b892e9c23e1f2e7f9b452,026f1c1811c4d9afa6f463211a97f392e34d8bf233bf0f6994e895d3d37ec9cd,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,c1685be28707789bb9ad5fcb5ea3d14d55c90ada53e5cc7e083453d0e526bcc9,eeecdeb84a71a196851566afdc66d21b7f4e7ca8b66731fe98aa3c8a1292e2ba,"[[18.0,3849],[20.0,4911]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_c5d33b457ca9d3b16329427362515ef7644a40cca809253e0f1564b3c17e9caa,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_existing,231ef175659def943b74235aceb0ef9def0e53fc195cdad7a8338fa6b54777e3,238.40000000000001,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2041-2060,556301278,2,3952333982,central,central,52925.667618628642,360.26858759755754,222.00363933988524,1.5111937399226407,21748.180050045634,7884.1813235126774,2433.5676593093863,45.695116945515061,6542,142,142,6542,0,3941.4666666670619,3500.0000000003952,7.7761797001585364e-11,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,2987a546cb3f48253dcdfdc400036a68d1977eddb1012f753e54eca010acedd8,3416443e514891f304ecef2314bdad3cde8ff897194b892e9c23e1f2e7f9b452,026f1c1811c4d9afa6f463211a97f392e34d8bf233bf0f6994e895d3d37ec9cd,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,c1685be28707789bb9ad5fcb5ea3d14d55c90ada53e5cc7e083453d0e526bcc9,eeecdeb84a71a196851566afdc66d21b7f4e7ca8b66731fe98aa3c8a1292e2ba,"[[18.0,3849],[20.0,4911]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_eb569a79ade9c0aa8101b124c9329c2651f70459073fad3093a69107a7b662ca,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_existing,231ef175659def943b74235aceb0ef9def0e53fc195cdad7a8338fa6b54777e3,238.40000000000001,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2041-2060,556301278,2,3952333982,mass_heavy,thermal_mass,52698.993232233581,268.81873436543549,221.05282396071132,1.1275953622711219,21451.041624349866,7128.5945188788182,2456.7102220534139,37.709920749948218,6546,122,122,6546,0,3941.4666666670619,3500.0000000003952,1.0857093002414331e-10,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,ba8bdf115a19cf4f09c22f62bf794e41d11242897704d0abc6849c4ac0866fe8,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,ba8bdf115a19cf4f09c22f62bf794e41d11242897704d0abc6849c4ac0866fe8,3416443e514891f304ecef2314bdad3cde8ff897194b892e9c23e1f2e7f9b452,026f1c1811c4d9afa6f463211a97f392e34d8bf233bf0f6994e895d3d37ec9cd,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,c1685be28707789bb9ad5fcb5ea3d14d55c90ada53e5cc7e083453d0e526bcc9,eeecdeb84a71a196851566afdc66d21b7f4e7ca8b66731fe98aa3c8a1292e2ba,"[[18.0,3849],[20.0,4911]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_68b4af868164df569322f750d6b07736d71c7c36abbf4103b5974ed6b6d01010,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_advanced_A_proxy,08c22156446d6b54e92ebc2744f64d2c93dd615a53f5710fcccf9ffaa6f3c4b5,238.40000000000001,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2041-2060,1203443498,4,2950803985,central,central,10175.612445645535,741.13827707674557,42.682938110929257,3.1088014978051408,8324.8529137327278,4702.7110882015395,1222.3173851948522,157.59808824662019,3888,482,482,3888,467,4196.0099999989934,3499.9999999989927,1.2187229003757238e-10,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,2987a546cb3f48253dcdfdc400036a68d1977eddb1012f753e54eca010acedd8,3416443e514891f304ecef2314bdad3cde8ff897194b892e9c23e1f2e7f9b452,026f1c1811c4d9afa6f463211a97f392e34d8bf233bf0f6994e895d3d37ec9cd,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,c1685be28707789bb9ad5fcb5ea3d14d55c90ada53e5cc7e083453d0e526bcc9,eeecdeb84a71a196851566afdc66d21b7f4e7ca8b66731fe98aa3c8a1292e2ba,"[[18.0,3136],[20.0,5624]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_a015fd8866e6c54ffbafb99fc23a8ac1ce74dd985477728133fbc2606f911a2f,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_advanced_A_proxy,08c22156446d6b54e92ebc2744f64d2c93dd615a53f5710fcccf9ffaa6f3c4b5,238.40000000000001,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2041-2060,1203443498,4,2950803985,mass_heavy,thermal_mass,10137.319649599875,626.20346041310461,42.522313966442425,2.6266923675046332,8219.0729191396349,4321.3000789599255,1233.3896717223722,144.91089463146534,3776,450,450,3776,442,4196.0099999989934,3499.9999999989927,1.7720225287121139e-10,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,ba8bdf115a19cf4f09c22f62bf794e41d11242897704d0abc6849c4ac0866fe8,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,ba8bdf115a19cf4f09c22f62bf794e41d11242897704d0abc6849c4ac0866fe8,3416443e514891f304ecef2314bdad3cde8ff897194b892e9c23e1f2e7f9b452,026f1c1811c4d9afa6f463211a97f392e34d8bf233bf0f6994e895d3d37ec9cd,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,c1685be28707789bb9ad5fcb5ea3d14d55c90ada53e5cc7e083453d0e526bcc9,eeecdeb84a71a196851566afdc66d21b7f4e7ca8b66731fe98aa3c8a1292e2ba,"[[18.0,3136],[20.0,5624]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_71a25a3bde15cc732b0c08216c59b949fc55d91ab82a78579b119fff417027fc,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_existing,231ef175659def943b74235aceb0ef9def0e53fc195cdad7a8338fa6b54777e3,238.40000000000001,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2041-2060,1203443498,4,2950803985,central,central,53508.661727129656,358.09350027205329,224.44908442587942,1.5020700514767336,22427.19548399379,7851.7421249290492,2385.8828789055947,45.606885016653443,6608,144,144,6608,0,4196.0099999989934,3499.9999999989927,8.2536644185893238e-11,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,2987a546cb3f48253dcdfdc400036a68d1977eddb1012f753e54eca010acedd8,3416443e514891f304ecef2314bdad3cde8ff897194b892e9c23e1f2e7f9b452,026f1c1811c4d9afa6f463211a97f392e34d8bf233bf0f6994e895d3d37ec9cd,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,c1685be28707789bb9ad5fcb5ea3d14d55c90ada53e5cc7e083453d0e526bcc9,eeecdeb84a71a196851566afdc66d21b7f4e7ca8b66731fe98aa3c8a1292e2ba,"[[18.0,3136],[20.0,5624]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_246f3a8c3b9fe41993dedea24ac187ed785b9823ac74603a1f2e0891720069bb,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_existing,231ef175659def943b74235aceb0ef9def0e53fc195cdad7a8338fa6b54777e3,238.40000000000001,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2041-2060,1203443498,4,2950803985,mass_heavy,thermal_mass,53277.900843775242,269.91968513085902,223.4811277003995,1.1322134443408516,22202.798561288804,7153.5568340818018,2399.6029463000555,37.732234661906439,6600,125,125,6600,0,4196.0099999989934,3499.9999999989927,1.1129941412946209e-10,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,ba8bdf115a19cf4f09c22f62bf794e41d11242897704d0abc6849c4ac0866fe8,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,ba8bdf115a19cf4f09c22f62bf794e41d11242897704d0abc6849c4ac0866fe8,3416443e514891f304ecef2314bdad3cde8ff897194b892e9c23e1f2e7f9b452,026f1c1811c4d9afa6f463211a97f392e34d8bf233bf0f6994e895d3d37ec9cd,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,c1685be28707789bb9ad5fcb5ea3d14d55c90ada53e5cc7e083453d0e526bcc9,eeecdeb84a71a196851566afdc66d21b7f4e7ca8b66731fe98aa3c8a1292e2ba,"[[18.0,3136],[20.0,5624]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_3d330ddb5d3a99b077be54ee4d0e671fd0f35976c745cafe26aa12d312b7f7dd,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_advanced_A_proxy,08c22156446d6b54e92ebc2744f64d2c93dd615a53f5710fcccf9ffaa6f3c4b5,238.40000000000001,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2041-2060,2404203277,3,2654959407,central,central,10211.19678203299,742.54957864901451,42.832201266916904,3.1147213869505643,8183.5478610415057,4429.5073832215539,1247.7713768430785,167.63705631504391,3903,463,463,3903,435,4070.3250000003568,3500.000000000357,1.0868461686186492e-10,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,2987a546cb3f48253dcdfdc400036a68d1977eddb1012f753e54eca010acedd8,3416443e514891f304ecef2314bdad3cde8ff897194b892e9c23e1f2e7f9b452,026f1c1811c4d9afa6f463211a97f392e34d8bf233bf0f6994e895d3d37ec9cd,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,c1685be28707789bb9ad5fcb5ea3d14d55c90ada53e5cc7e083453d0e526bcc9,eeecdeb84a71a196851566afdc66d21b7f4e7ca8b66731fe98aa3c8a1292e2ba,"[[18.0,3294],[20.0,5466]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
mc_d4e79d28be5c7a8c84013341fc0f787aae059213e5a7d5ef75a2dc47ef5a1ee8,BE_TABULA_11,Detached house,SFH,1971-1990,TABULA_advanced_A_proxy,08c22156446d6b54e92ebc2744f64d2c93dd615a53f5710fcccf9ffaa6f3c4b5,238.40000000000001,rcp_4_5,weather_2050_rcp_4_5_pvgis_2010,pvgis_2010,2010,2041-2060,2404203277,3,2654959407,mass_heavy,thermal_mass,10169.988073507624,624.2039755854953,42.659345945921238,2.6183052667176816,7963.0021199381254,4102.6157820332537,1277.1550126859249,152.14780246278394,3757,444,444,3757,429,4070.3250000003568,3500.000000000357,1.7394086171407253e-10,2,residential_energy_demand_gate5_v1,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,ba8bdf115a19cf4f09c22f62bf794e41d11242897704d0abc6849c4ac0866fe8,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,ba8bdf115a19cf4f09c22f62bf794e41d11242897704d0abc6849c4ac0866fe8,3416443e514891f304ecef2314bdad3cde8ff897194b892e9c23e1f2e7f9b452,026f1c1811c4d9afa6f463211a97f392e34d8bf233bf0f6994e895d3d37ec9cd,d543101e7ea78ed2ddaba45de0ca0f44ec997e73ba696c2970de54b1e75cccfc,e40ccb491db9d0ecfe8c9e8462f713cf096279ef2b219236d05222512135b242,c1685be28707789bb9ad5fcb5ea3d14d55c90ada53e5cc7e083453d0e526bcc9,eeecdeb84a71a196851566afdc66d21b7f4e7ca8b66731fe98aa3c8a1292e2ba,"[[18.0,3294],[20.0,5466]]","[[26.0,8760]]","[[""north"",""002ee4e68ba2ff1e9da7eb8f1e16c441bba47a8ad5ed36d81dc169204a2cb66d""],[""east"",""b1a28b883b4633c7b55388b5b43f571e79efcd391bc0ce6bc07019b5e25d8065""],[""south"",""c667e440b35d715226d38302c0104b35b5d5764fed6125e5bcc80d08fabf1f41""],[""west"",""2767619730916a7bca7fe58275301af35dc43db33040cad9a975264954dbabb5""]]"
