archetype_id,TABULA_type_number,TABULA_existing_kWh_m2,TABULA_standard_B_proxy_kWh_m2,TABULA_advanced_A_proxy_kWh_m2
BE_TABULA_01,1,334,94,39
BE_TABULA_02,2,295,87,33
BE_TABULA_03,3,231,74,28
BE_TABULA_04,4,140,62,17
BE_TABULA_05,5,341,102,36
BE_TABULA_06,6,343,103,43
BE_TABULA_07,7,300,96,37
BE_TABULA_08,8,234,78,30
BE_TABULA_09,9,134,62,17
BE_TABULA_10,10,333,102,36
BE_TABULA_11,11,238,101,42
BE_TABULA_12,12,221,102,40
BE_TABULA_13,13,167,81,30
BE_TABULA_14,14,99,62,17
BE_TABULA_15,15,204,102,36
BE_TABULA_16,16,165,99,41
BE_TABULA_17,17,145,88,35
BE_TABULA_18,18,119,75,27
BE_TABULA_19,19,93,62,17
BE_TABULA_20,20,163,102,36
BE_TABULA_21,21,103,103,45
BE_TABULA_22,22,92,92,38
BE_TABULA_23,23,77,77,31
BE_TABULA_24,24,60,60,17
BE_TABULA_25,25,99,99,36
